Glyph Name, Unicode, Character, Description, Glyph Set, Optional,Exclude
at,64,@,COMMERCIAL AT,GF-latin-core,FALSE,FALSE
numbersign,35,#,NUMBER SIGN,GF-latin-core,FALSE,FALSE
ampersand,38,&,AMPERSAND,GF-latin-core,FALSE,FALSE
section,167,§,SECTION SIGN,GF-latin-core,FALSE,FALSE
paragraph,182,¶,PILCROW SIGN,GF-latin-core,FALSE,FALSE
pi,960,π,GREEK SMALL LETTER PI,GF-latin-pro,FALSE,TRUE
litre,8467,ℓ,SCRIPT SMALL L,GF-latin-pro,FALSE,TRUE
ohm,8486,Ω,OHM SIGN,GF-latin-pro,FALSE,TRUE
estimated,8494,℮,ESTIMATED SYMBOL,GF-latin-pro,FALSE,TRUE
partialdiff,8706,∂,PARTIAL DIFFERENTIAL,GF-latin-pro,FALSE,TRUE
emptyset,8709,∅,EMPTY SET,GF-latin-pro,FALSE,TRUE
increment,8710,∆,INCREMENT,GF-latin-pro,FALSE,TRUE
product,8719,∏,N-ARY PRODUCT,GF-latin-pro,FALSE,TRUE
summation,8721,∑,N-ARY SUMMATION,GF-latin-pro,FALSE,TRUE
radical,8730,√,SQUARE ROOT,GF-latin-pro,FALSE,TRUE
infinity,8734,∞,INFINITY,GF-latin-pro,FALSE,TRUE
integral,8747,∫,INTEGRAL,GF-latin-pro,FALSE,TRUE
lozenge,9674,◊,LOZENGE,GF-latin-pro,FALSE,TRUE
zero.dnom,,,,GF-latin-pro,FALSE,FALSE
one.dnom,,,,GF-latin-pro,FALSE,FALSE
two.dnom,,,,GF-latin-pro,FALSE,FALSE
three.dnom,,,,GF-latin-pro,FALSE,FALSE
four.dnom,,,,GF-latin-pro,FALSE,FALSE
five.dnom,,,,GF-latin-pro,FALSE,FALSE
six.dnom,,,,GF-latin-pro,FALSE,FALSE
seven.dnom,,,,GF-latin-pro,FALSE,FALSE
eight.dnom,,,,GF-latin-pro,FALSE,FALSE
nine.dnom,,,,GF-latin-pro,FALSE,FALSE
zero.numr,,,,GF-latin-pro,FALSE,FALSE
one.numr,,,,GF-latin-pro,FALSE,FALSE
two.numr,,,,GF-latin-pro,FALSE,FALSE
three.numr,,,,GF-latin-pro,FALSE,FALSE
four.numr,,,,GF-latin-pro,FALSE,FALSE
five.numr,,,,GF-latin-pro,FALSE,FALSE
six.numr,,,,GF-latin-pro,FALSE,FALSE
seven.numr,,,,GF-latin-pro,FALSE,FALSE
eight.numr,,,,GF-latin-pro,FALSE,FALSE
nine.numr,,,,GF-latin-pro,FALSE,FALSE
zero.subs,,,,GF-latin-pro,FALSE,FALSE
one.subs,,,,GF-latin-pro,FALSE,FALSE
two.subs,,,,GF-latin-pro,FALSE,FALSE
three.subs,,,,GF-latin-pro,FALSE,FALSE
four.subs,,,,GF-latin-pro,FALSE,FALSE
five.subs,,,,GF-latin-pro,FALSE,FALSE
six.subs,,,,GF-latin-pro,FALSE,FALSE
seven.subs,,,,GF-latin-pro,FALSE,FALSE
eight.subs,,,,GF-latin-pro,FALSE,FALSE
nine.subs,,,,GF-latin-pro,FALSE,FALSE
zero.superior,8304,⁰,SUPERSCRIPT ZERO,GF-latin-pro,FALSE,FALSE
onesuperior,185,¹,SUPERSCRIPT ONE,GF-latin-core,FALSE,FALSE
twosuperior,178,²,SUPERSCRIPT TWO,GF-latin-core,FALSE,FALSE
threesuperior,179,³,SUPERSCRIPT THREE,GF-latin-core,FALSE,FALSE
four.superior,8308,⁴,SUPERSCRIPT FOUR,GF-latin-core,FALSE,FALSE
five.superior,8309,⁵,SUPERSCRIPT FIVE,GF-latin-pro,FALSE,FALSE
six.superior,8310,⁶,SUPERSCRIPT SIX,GF-latin-pro,FALSE,FALSE
seven.superior,8311,⁷,SUPERSCRIPT SEVEN,GF-latin-pro,FALSE,FALSE
eight.superior,8312,⁸,SUPERSCRIPT EIGHT,GF-latin-pro,FALSE,FALSE
nine.superior,8313,⁹,SUPERSCRIPT NINE,GF-latin-pro,FALSE,FALSE
zero.inferior,8320,₀,SUBSCRIPT ZERO,GF-latin-pro,FALSE,FALSE
one.inferior,8321,₁,SUBSCRIPT ONE,GF-latin-pro,FALSE,FALSE
two.inferior,8322,₂,SUBSCRIPT TWO,GF-latin-pro,FALSE,FALSE
three.inferior,8323,₃,SUBSCRIPT THREE,GF-latin-pro,FALSE,FALSE
four.inferior,8324,₄,SUBSCRIPT FOUR,GF-latin-pro,FALSE,FALSE
five.inferior,8325,₅,SUBSCRIPT FIVE,GF-latin-pro,FALSE,FALSE
six.inferior,8326,₆,SUBSCRIPT SIX,GF-latin-pro,FALSE,FALSE
seven.inferior,8327,₇,SUBSCRIPT SEVEN,GF-latin-pro,FALSE,FALSE
eight.inferior,8328,₈,SUBSCRIPT EIGHT,GF-latin-pro,FALSE,FALSE
nine.inferior,8329,₉,SUBSCRIPT NINE,GF-latin-pro,FALSE,FALSE
onehalf,189,½,VULGAR FRACTION ONE HALF,GF-latin-core,FALSE,FALSE
onethird,8531,⅓,VULGAR FRACTION ONE THIRD,GF-latin-expert,FALSE,FALSE
onequarter,188,¼,VULGAR FRACTION ONE QUARTER,GF-latin-core,FALSE,FALSE
oneeighth,8539,⅛,VULGAR FRACTION ONE EIGHTH,GF-latin-expert,FALSE,FALSE
twothirds,8532,⅔,VULGAR FRACTION TWO THIRDS,GF-latin-expert,FALSE,FALSE
threequarters,190,¾,VULGAR FRACTION THREE QUARTERS,GF-latin-core,FALSE,FALSE
threeeighths,8540,⅜,VULGAR FRACTION THREE EIGHTHS,GF-latin-expert,FALSE,FALSE
fiveeighths,8541,⅝,VULGAR FRACTION FIVE EIGHTHS,GF-latin-expert,FALSE,FALSE
seveneighths,8542,⅞,VULGAR FRACTION SEVEN EIGHTHS,GF-latin-expert,FALSE,FALSE
dieresis,168,¨,DIAERESIS,GF-latin-core,FALSE,FALSE
grave,96,`,GRAVE ACCENT,GF-latin-core,FALSE,FALSE
macron,175,¯,MACRON,GF-latin-core,FALSE,FALSE
acute,180,´,ACUTE ACCENT,GF-latin-core,FALSE,FALSE
cedilla,184,¸,CEDILLA,GF-latin-core,FALSE,FALSE
circumflex,710,ˆ,MODIFIER LETTER CIRCUMFLEX ACCENT,GF-latin-core,FALSE,FALSE
ring,730,˚,RING ABOVE,GF-latin-core,FALSE,FALSE
tilde,732,˜,SMALL TILDE,GF-latin-core,FALSE,FALSE
primemod,697,ʹ,MODIFIER LETTER PRIME,GF-latin-plus,FALSE,FALSE
primedblmod,698,ʺ,MODIFIER LETTER DOUBLE PRIME,GF-latin-plus,FALSE,FALSE
apostrophemod,700,ʼ,MODIFIER LETTER APOSTROPHE,GF-latin-plus,FALSE,FALSE
caron,711,ˇ,CARON,GF-latin-plus,FALSE,FALSE
breve,728,˘,BREVE,GF-latin-plus,FALSE,FALSE
dotaccent,729,˙,DOT ABOVE,GF-latin-plus,FALSE,FALSE
ogonek,731,˛,OGONEK,GF-latin-plus,FALSE,FALSE
hungarumlaut,733,˝,DOUBLE ACUTE ACCENT,GF-latin-plus,FALSE,FALSE
gravecmb,768,̀,COMBINING GRAVE ACCENT,GF-latin-plus,FALSE,FALSE
acutecmb,769,́,COMBINING ACUTE ACCENT,GF-latin-plus,FALSE,FALSE
circumflexcmb,770,̂,COMBINING CIRCUMFLEX ACCENT,GF-latin-plus,FALSE,FALSE
tildecmb,771,̃,COMBINING TILDE,GF-latin-plus,FALSE,FALSE
macroncmb,772,̄,COMBINING MACRON,GF-latin-plus,FALSE,FALSE
brevecmb,774,̆,COMBINING BREVE,GF-latin-plus,FALSE,FALSE
dotaccentcmb,775,̇,COMBINING DOT ABOVE,GF-latin-plus,FALSE,FALSE
dieresiscmb,776,̈,COMBINING DIAERESIS,GF-latin-plus,FALSE,FALSE
hookabovecmb,777,̉,COMBINING HOOK ABOVE,GF-latin-plus,FALSE,FALSE
ringabovecmb,778,̊,COMBINING RING ABOVE,GF-latin-plus,FALSE,FALSE
