Glyph Name, Unicode, Character, Description, Glyph Set, Optional
Acircumflexdotbelow,7852,Ậ,LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND DOT BELOW,GF-latin-plus,0
Acircumflexgrave,7846,Ầ,LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND GRAVE,GF-latin-plus,0
Acircumflexhoi,7848,Ẩ,LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND HOOK ABOVE,GF-latin-plus,0
Acircumflextilde,7850,Ẫ,LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND TILDE,GF-latin-plus,0
Adieresis,196,Ä,LATIN CAPITAL LETTER A WITH DIAERESIS,GF-latin-core,0
Adotbelow,7840,Ạ,LATIN CAPITAL LETTER A WITH DOT BELOW,GF-latin-plus,0
Agravedbl,512,Ȁ,LATIN CAPITAL LETTER A WITH DOUBLE GRAVE,GF-latin-plus,0
Agrave,192,À,LATIN CAPITAL LETTER A WITH GRAVE,GF-latin-core,0
Ahoi,7842,Ả,LATIN CAPITAL LETTER A WITH HOOK ABOVE,GF-latin-plus,0
Ainvertedbreve,514,Ȃ,LATIN CAPITAL LETTER A WITH INVERTED BREVE,GF-latin-plus,0
Amacron,256,Ā,LATIN CAPITAL LETTER A WITH MACRON,GF-latin-plus,0
Aogonek,260,Ą,LATIN CAPITAL LETTER A WITH OGONEK,GF-latin-plus,0
Aring,197,Å,LATIN CAPITAL LETTER A WITH RING ABOVE,GF-latin-core,0
Aringacute,506,Ǻ,LATIN CAPITAL LETTER A WITH RING ABOVE AND ACUTE,GF-latin-plus,0
Atilde,195,Ã,LATIN CAPITAL LETTER A WITH TILDE,GF-latin-core,0
AE,198,Æ,LATIN CAPITAL LETTER AE,GF-latin-core,0
AEacute,508,Ǽ,LATIN CAPITAL LETTER AE WITH ACUTE,GF-latin-plus,0
Cacute,262,Ć,LATIN CAPITAL LETTER C WITH ACUTE,GF-latin-plus,0
Ccaron,268,Č,LATIN CAPITAL LETTER C WITH CARON,GF-latin-plus,0
Ccedilla,199,Ç,LATIN CAPITAL LETTER C WITH CEDILLA,GF-latin-core,0
Ccedillaacute,7688,Ḉ,LATIN CAPITAL LETTER C WITH CEDILLA AND ACUTE,GF-latin-pro,0
Ccircumflex,264,Ĉ,LATIN CAPITAL LETTER C WITH CIRCUMFLEX,GF-latin-plus,0
Cdotaccent,266,Ċ,LATIN CAPITAL LETTER C WITH DOT ABOVE,GF-latin-plus,0
Dcaron,270,Ď,LATIN CAPITAL LETTER D WITH CARON,GF-latin-plus,0
Ddotbelow,7692,Ḍ,LATIN CAPITAL LETTER D WITH DOT BELOW,GF-latin-pro,0
Dlinebelow,7694,Ḏ,LATIN CAPITAL LETTER D WITH LINE BELOW,GF-latin-pro,0
Dcroat,272,Đ,LATIN CAPITAL LETTER D WITH STROKE,GF-latin-plus,0
Eth,208,Ð,LATIN CAPITAL LETTER ETH,GF-latin-core,0
